id,country,country_code,continent,destination,activity_name,category,description,best_season,recommended_duration_hours,budget_tier_estimate,family_friendly,traveler_types,keywords,source_official,source_title,source_url,rag_text
ES002,Spain,ES,Europe,Madrid,"Visit museums, plazas, and central city sights",arts_and_museums,"Recommended for travelers who want world-class museums, lively plazas, shopping streets, and classic urban sightseeing.","spring, autumn",6,medium,yes,art_lovers|city_explorers|weekend_travelers,"Madrid, museums, plazas, Puerta del Sol, Royal Palace, Spain",yes,Tourism in Madrid: what to do in Madrid,https://www.spain.info/en/destination/madrid/,"Spain - Madrid. Activity: Visit museums, plazas, and central city sights. Category: arts and museums. Recommended for travelers who want world-class museums, lively plazas, shopping streets, and classic urban sightseeing. Best time: spring, autumn. Budget: medium. Good for: art_lovers, city_explorers, weekend_travelers. Keywords: Madrid, museums, plazas, Puerta del Sol, Royal Palace, Spain."
ES003,Spain,ES,Europe,Seville,"Explore the cathedral, Alcázar area, and tapas culture",cultural_heritage,"A strong pick for travelers interested in Andalusian character, historic monuments, gardens, and food-focused city walks.","spring, autumn",6,medium,yes,culture_seekers|foodies|couples,"Seville, cathedral, Alcazar, Plaza de Espana, tapas, Andalusia",yes,Tourism in Seville. What to see,https://www.spain.info/en/destination/seville/,"Spain - Seville. Activity: Explore the cathedral, Alcázar area, and tapas culture. Category: cultural heritage. A strong pick for travelers interested in Andalusian character, historic monuments, gardens, and food-focused city walks. Best time: spring, autumn. Budget: medium. Good for: culture_seekers, foodies, couples. Keywords: Seville, cathedral, Alcazar, Plaza de Espana, tapas, Andalusia."
TH001,Thailand,TH,Asia,Bangkok,"Temple circuit including Wat Pho, Wat Arun, and the Grand Palace area",cultural_heritage,"Best for first-time visitors who want famous temples, river views, street food, and a high-energy city introduction.",cool season (november to february),6,low,yes,first_time_visitors|budget_travelers|culture_seekers,"Bangkok, temples, Wat Pho, Wat Arun, Grand Palace, Thailand",yes,Bangkok - Tourism Authority of Thailand,https://www.tourismthailand.org/Destinations/Provinces/Bangkok/219,"Thailand - Bangkok. Activity: Temple circuit including Wat Pho, Wat Arun, and the Grand Palace area. Category: cultural heritage. Best for first-time visitors who want famous temples, river views, street food, and a high-energy city introduction. Best time: cool season (november to february). Budget: low. Good for: first_time_visitors, budget_travelers, culture_seekers. Keywords: Bangkok, temples, Wat Pho, Wat Arun, Grand Palace, Thailand."
TH002,Thailand,TH,Asia,Phuket,Beach hop and catch sunset viewpoints,beaches_and_islands,"Good for travelers looking for beaches, viewpoints, nightlife, and an easy resort-style island base.",dry season (november to april),8,medium,yes,beach_lovers|groups|leisure_travelers,"Phuket, beaches, viewpoints, sunset, nightlife, island, Thailand",yes,Phuket,https://www.tourismthailand.org/Destinations/Provinces/Phuket/350,"Thailand - Phuket. Activity: Beach hop and catch sunset viewpoints. Category: beaches and islands. Good for travelers looking for beaches, viewpoints, nightlife, and an easy resort-style island base. Best time: dry season (november to april). Budget: medium. Good for: beach_lovers, groups, leisure_travelers. Keywords: Phuket, beaches, viewpoints, sunset, nightlife, island, Thailand."
TH003,Thailand,TH,Asia,Chiang Mai,Visit Doi Suthep and local walking streets,culture_and_markets,"A strong fit for travelers who want temples, handicrafts, mountain-city scenery, and a calmer pace than Bangkok.",cool season (november to february),6,low,yes,culture_seekers|digital_nomads|budget_travelers,"Chiang Mai, Doi Suthep, walking street, markets, temples, Thailand",yes,Chiang Mai,https://www.tourismthailand.org/Destinations/Provinces/Chiang-Mai/101,"Thailand - Chiang Mai. Activity: Visit Doi Suthep and local walking streets. Category: culture and markets. A strong fit for travelers who want temples, handicrafts, mountain-city scenery, and a calmer pace than Bangkok. Best time: cool season (november to february). Budget: low. Good for: culture_seekers, digital_nomads, budget_travelers. Keywords: Chiang Mai, Doi Suthep, walking street, markets, temples, Thailand."
AU001,Australia,AU,Oceania,Sydney,See Sydney Harbour icons and nearby beaches,city_highlights,"Ideal for travelers who want famous landmarks, harbor views, city energy, and easy access to beaches.","spring, autumn",6,high,yes,first_time_visitors|families|city_explorers,"Sydney, Opera House, Harbour Bridge, beaches, city, Australia",yes,Guide to Sydney,https://www.australia.com/en-us/places/sydney-and-surrounds/guide-to-sydney.html,"Australia - Sydney. Activity: See Sydney Harbour icons and nearby beaches. Category: city highlights. Ideal for travelers who want famous landmarks, harbor views, city energy, and easy access to beaches. Best time: spring, autumn. Budget: high. Good for: first_time_visitors, families, city_explorers. Keywords: Sydney, Opera House, Harbour Bridge, beaches, city, Australia."
AU002,Australia,AU,Oceania,Great Barrier Reef,"Snorkel, dive, or sail reef islands",nature_and_adventure,Best for marine-life lovers and outdoor travelers who want reef experiences ranging from easy cruises to diving adventures.,dry season (june to october),8,high,yes,adventure_travelers|nature_lovers|families,"Great Barrier Reef, snorkel, dive, sail, marine life, Australia",yes,Guide to the Great Barrier Reef,https://www.australia.com/en-us/places/cairns-and-surrounds/guide-to-the-great-barrier-reef.html,"Australia - Great Barrier Reef. Activity: Snorkel, dive, or sail reef islands. Category: nature and adventure. Best for marine-life lovers and outdoor travelers who want reef experiences ranging from easy cruises to diving adventures. Best time: dry season (june to october). Budget: high. Good for: adventure_travelers, nature_lovers, families. Keywords: Great Barrier Reef, snorkel, dive, sail, marine life, Australia."
AU003,Australia,AU,Oceania,Uluru,Watch sunrise or sunset and learn about Aboriginal culture,outback_and_culture,"Recommended for travelers seeking iconic landscapes, cultural context, and a memorable outback experience.",april to october,6,high,yes,nature_lovers|culture_seekers|road_trippers,"Uluru, Kata Tjuta, outback, sunrise, Aboriginal culture, Australia",yes,Guide to Uluru and Kata Tjuta,https://www.australia.com/en-us/places/alice-springs-and-surrounds/guide-to-uluru-and-kata-tjuta.html,"Australia - Uluru. Activity: Watch sunrise or sunset and learn about Aboriginal culture. Category: outback and culture. Recommended for travelers seeking iconic landscapes, cultural context, and a memorable outback experience. Best time: april to october. Budget: high. Good for: nature_lovers, culture_seekers, road_trippers. Keywords: Uluru, Kata Tjuta, outback, sunrise, Aboriginal culture, Australia."
US001,United States,US,North America,Yellowstone National Park,"See geysers, hot springs, and wildlife",national_parks,"A great option for travelers who want geothermal features, scenic drives, hiking, and wildlife watching in a major park.",late spring to early autumn,8,medium,yes,nature_lovers|road_trippers|families,"Yellowstone, Old Faithful, Grand Prismatic, wildlife, national park, USA",yes,Wyoming | Rugged Nature & Western Life,https://www.visittheusa.com/destinations/wyoming/,"United States - Yellowstone National Park. Activity: See geysers, hot springs, and wildlife. Category: national parks. A great option for travelers who want geothermal features, scenic drives, hiking, and wildlife watching in a major park. Best time: late spring to early autumn. Budget: medium. Good for: nature_lovers, road_trippers, families. Keywords: Yellowstone, Old Faithful, Grand Prismatic, wildlife, national park, USA."
US002,United States,US,North America,Hawaiʻi,"Experience volcanoes, beaches, and island culture",islands_and_nature,"Best for travelers who want a mix of beaches, dramatic landscapes, and culturally distinct island experiences.",year_round,8,high,yes,beach_lovers|nature_lovers|honeymooners,"Hawaii, volcanoes, beaches, island culture, surfing, USA",yes,"Hawaiʻi | Culture, Nature & Beautiful Beaches",https://www.visittheusa.com/destinations/hawaii/,"United States - Hawaiʻi. Activity: Experience volcanoes, beaches, and island culture. Category: islands and nature. Best for travelers who want a mix of beaches, dramatic landscapes, and culturally distinct island experiences. Best time: year_round. Budget: high. Good for: beach_lovers, nature_lovers, honeymooners. Keywords: Hawaii, volcanoes, beaches, island culture, surfing, USA."
US003,United States,US,North America,New Orleans,"Walk the French Quarter, hear live music, and take a riverboat cruise",music_and_culture,"A good fit for travelers seeking food, music, historic streets, and a city with a strong local identity.","spring, autumn",6,medium,moderate,foodies|music_lovers|culture_seekers,"New Orleans, French Quarter, live music, riverboat, food, USA",yes,"New Orleans | Music, Food and Culture",https://www.visittheusa.com/destinations/louisiana/new-orleans/,"United States - New Orleans. Activity: Walk the French Quarter, hear live music, and take a riverboat cruise. Category: music and culture. A good fit for travelers seeking food, music, historic streets, and a city with a strong local identity. Best time: spring, autumn. Budget: medium. Good for: foodies, music_lovers, culture_seekers. Keywords: New Orleans, French Quarter, live music, riverboat, food, USA."
AE001,United Arab Emirates,AE,Asia,Dubai,Go on a desert safari and dune adventure,desert_adventure,Strong choice for travelers who want a high-energy desert excursion with dune activities and sunset desert scenery.,november to march,6,high,yes,adventure_travelers|luxury_travelers|groups,"Dubai, desert safari, dunes, camel ride, adventure, UAE",yes,"Desert Safaris in Dubai - Top Operators, Ticket Prices & More",https://www.visitdubai.com/en/places-to-visit/desert-safari-dubai,"United Arab Emirates - Dubai. Activity: Go on a desert safari and dune adventure. Category: desert adventure. Strong choice for travelers who want a high-energy desert excursion with dune activities and sunset desert scenery. Best time: november to march. Budget: high. Good for: adventure_travelers, luxury_travelers, groups. Keywords: Dubai, desert safari, dunes, camel ride, adventure, UAE."
AE002,United Arab Emirates,AE,Asia,Dubai,Explore Old Dubai and its traditional souks,culture_and_markets,"Recommended for travelers who want heritage districts, markets, creekside culture, and a more traditional side of Dubai.",november to march,4,medium,yes,culture_seekers|foodies|first_time_visitors,"Old Dubai, souks, heritage, Al Fahidi, creek, UAE",yes,Discover Dubai's Old Town,https://www.visitdubai.com/en/articles/discover-dubais-old-town,"United Arab Emirates - Dubai. Activity: Explore Old Dubai and its traditional souks. Category: culture and markets. Recommended for travelers who want heritage districts, markets, creekside culture, and a more traditional side of Dubai. Best time: november to march. Budget: medium. Good for: culture_seekers, foodies, first_time_visitors. Keywords: Old Dubai, souks, heritage, Al Fahidi, creek, UAE."
AE003,United Arab Emirates,AE,Asia,Abu Dhabi,Visit Louvre Abu Dhabi and major cultural attractions,arts_and_museums,"Best for travelers who want architecture, museums, and a polished cultural stop beyond Dubai.",november to march,5,high,yes,art_lovers|culture_seekers|luxury_travelers,"Abu Dhabi, Louvre Abu Dhabi, museums, culture, architecture, UAE",yes,Things to do in Abu Dhabi | Activities,https://visitabudhabi.ae/en/things-to-do,"United Arab Emirates - Abu Dhabi. Activity: Visit Louvre Abu Dhabi and major cultural attractions. Category: arts and museums. Best for travelers who want architecture, museums, and a polished cultural stop beyond Dubai. Best time: november to march. Budget: high. Good for: art_lovers, culture_seekers, luxury_travelers. Keywords: Abu Dhabi, Louvre Abu Dhabi, museums, culture, architecture, UAE."
